Index,Case_Name,i_h2i_rate,i_h2_temp,i_ngi_rate,i_ng_temp,i_pci_rate,i_wpi_rate,i_sgi_rate,i_sgi_COH2ratio,i_sgi_ReProRatio,i_o2_volfract,i_hbtemp,i_wind_rt,i_blastH2O,i_BdnH2O,o_tuy_velo,o_tuy_temp,o_burn,o_fta,o_coke_rt,o_hmt,o_delp,o_tgt,o_co_vf,o_co2_vf,o_h2_vf,o_n2_vf,o_co_util,o_h2_util,o_co2_sollos,o_h2o_sollos,o_feo_sollos,o_hm_rt,o_mw_rt,o_wf_rt,o_hm_h2share,o_mw_h2share,o_wf_h2share,o_prod_rt
1,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1200_WR-160,10,1200,0,0,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.48E+03,5.28E+02,1652.96,4.53E+04,3.49E+01,2.71E-01,2.50E-01,4.10E-02,4.38E-01,4.79E+01,5.00E+01,2.75E+01,9.08E+00,53.42225,1.88E+02,4.07E+02,1.09E+03,1.33E+01,1.23E+01,3.42E+01,6.23E+03
2,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1480_WR-160,10,600,0,0,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.63E+03,5.28E+02,1985.20,4.59E+04,3.50E+01,2.73E-01,2.49E-01,4.12E-02,4.37E-01,4.78E+01,4.95E+01,2.83E+01,9.23E+00,51.7101,1.88E+02,4.07E+02,1.10E+03,1.32E+01,1.22E+01,3.41E+01,6.25E+03
3,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-300_HBT-1600_WR-160,10,300,0,0,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.70E+03,5.26E+02,2117.03,4.30E+04,3.53E+01,2.73E-01,2.48E-01,4.11E-02,4.38E-01,4.77E+01,4.97E+01,2.59E+01,8.47E+00,54.11249,1.88E+02,4.07E+02,1.11E+03,1.31E+01,1.22E+01,3.49E+01,6.25E+03
4,H2-20_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1200_WR-160,20,1200,0,0,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.43E+03,4.90E+02,1344.40,5.19E+04,3.58E+01,2.64E-01,2.44E-01,6.95E-02,4.23E-01,4.81E+01,5.03E+01,2.54E+01,1.48E+01,44.36503,2.06E+02,4.46E+02,1.21E+03,2.10E+01,1.83E+01,4.47E+01,6.84E+03
5,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1200_WR-160,10,600,0,0,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.40E+03,5.32E+02,1589.99,4.60E+04,3.68E+01,2.77E-01,2.45E-01,4.22E-02,4.37E-01,4.69E+01,4.81E+01,2.59E+01,8.46E+00,56.56291,1.86E+02,4.03E+02,1.09E+03,1.33E+01,1.21E+01,3.47E+01,6.19E+03
6,H2-20_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-600_HBT-1200_WR-160,20,600,0,0,0,0,0,0,0,30,1200,160,5.8,7,0,0,0,2.30E+03,4.92E+02,1211.61,5.16E+04,3.75E+01,2.65E-01,2.42E-01,7.09E-02,4.22E-01,4.78E+01,4.90E+01,2.24E+01,1.23E+01,50.30136,2.05E+02,4.44E+02,1.20E+03,2.08E+01,1.82E+01,4.41E+01,6.81E+03
7,H2-10_PCI-0_WPI-0_NG-60_O2-30_NGT-300_H2T-300_HBT-1600_WR-160,10,300,60,300,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.53E+03,4.32E+02,1311.74,5.77E+04,3.80E+01,2.64E-01,2.45E-01,8.09E-02,4.11E-01,4.82E+01,5.04E+01,2.35E+01,1.52E+01,49.18342,2.23E+02,4.82E+02,1.30E+03,2.36E+01,2.08E+01,4.76E+01,7.40E+03
8,H2-40_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1600_WR-160,40,1200,0,0,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.71E+03,4.38E+02,1312.25,5.89E+04,3.80E+01,2.55E-01,2.27E-01,1.21E-01,3.96E-01,4.71E+01,5.04E+01,1.78E+01,1.93E+01,39.98356,2.38E+02,5.15E+02,1.42E+03,3.23E+01,2.80E+01,5.77E+01,7.88E+03
9,H2-10_PCI-0_WPI-0_NG-60_O2-30_NGT-300_H2T-300_HBT-1480_WR-160,10,300,60,300,0,0,0,0,0,30,1480,160,5.8,7,0,0,0,2.45E+03,4.32E+02,1174.05,5.47E+04,3.83E+01,2.63E-01,2.45E-01,8.06E-02,4.11E-01,4.82E+01,5.06E+01,2.28E+01,1.49E+01,50.15401,2.23E+02,4.82E+02,1.30E+03,2.35E+01,2.07E+01,4.76E+01,7.39E+03
10,H2-10_PCI-0_WPI-0_NG-0_O2-30_NGT-0_H2T-1200_HBT-1600_WR-160,10,1200,0,0,0,0,0,0,0,30,1600,160,5.8,7,0,0,0,2.80E+03,5.37E+02,2241.94,4.72E+04,3.83E+01,2.80E-01,2.41E-01,4.30E-02,4.36E-01,4.62E+01,4.71E+01,2.56E+01,8.45E+00,57.88438,1.85E+02,3.99E+02,1.08E+03,1.34E+01,1.20E+01,3.52E+01,6.12E+03
